index,game,score,leaderbord,gamers,comp_perc,rating,url,min_comp_time,max_comp_time,Links,genres,developer,publisher,release_date,size
435,Drowning,1291,1.02,4214,95.0,1.7,https://www.truetrophies.com/game/Drowning/trophies,0,1,https://www.truetrophies.com/game/Drowning,Adventure,Polygonal-Wolf,Sometimes-You,2019/January/30,707MB
436,Drowning (EU),1287,1.02,5073,95.4,1.6,https://www.truetrophies.com/game/Drowning-European/trophies,0,1,https://www.truetrophies.com/game/Drowning-European,Adventure,Polygonal-Wolf,Sometimes-You,2019/January/30,707MB
437,Drowning (HK/TW),1282,1.02,270,96.3,5.0,https://www.truetrophies.com/game/Drowning-Asian/trophies,0,1,https://www.truetrophies.com/game/Drowning-Asian,Adventure,Sometimes-You|Polygonal-Wolf,eastasiasoft,2020/November/06,882MB
438,DUCATI - 90th Anniversary,1601,1.23,2598,52.9,2.9,https://www.truetrophies.com/game/DUCATI--90th-Anniversary/trophies,15,20,https://www.truetrophies.com/game/DUCATI--90th-Anniversary,Simulation-Racing,Milestone,Milestone,2016/June/09,10.57GB
439,Duck Souls+,1430,1.06,901,88.1,2.8,https://www.truetrophies.com/game/Duck-Souls-Plus/trophies,0,1,https://www.truetrophies.com/game/Duck-Souls-Plus,Platformer,Green-Dinosaur-Games,Ratalaika-Games,2020/March/24,105MB
440,Duck Souls+ (Asia),1382,1.02,403,94.8,1.0,https://www.truetrophies.com/game/Duck-Souls-Plus-Asian/trophies,0,1,https://www.truetrophies.com/game/Duck-Souls-Plus-Asian,Platformer,Green-Dinosaur-Games,eastasiasoft,2020/March/26,103MB
441,Duck Souls+ (EU),1439,1.07,1453,86.9,2.6,https://www.truetrophies.com/game/Duck-Souls-Plus-European/trophies,0,1,https://www.truetrophies.com/game/Duck-Souls-Plus-European,Platformer,Green-Dinosaur-Games,Ratalaika-Games,2020/March/25,111MB
442,Duke Nukem 3D: 20th Anniversary Edition World Tour,1689,1.28,14323,55.9,3.5,https://www.truetrophies.com/game/Duke-Nukem-3D-20th-Anniversary-Edition-World-Tour/trophies,1,2,https://www.truetrophies.com/game/Duke-Nukem-3D-20th-Anniversary-Edition-World-Tour,First-Person-Shooter,Gearbox-Software,Gearbox-Publishing,2016/October/11,1.00GB
443,Dungeon Punks,3095,2.37,15536,13.3,2.9,https://www.truetrophies.com/game/Dungeon-Punks/trophies,20,25,https://www.truetrophies.com/game/Dungeon-Punks,Role-Playing|Dungeon-Crawler|Beat-em-up,Hyper-Awesome-Entertainment,Hyper-Awesome-Entertainment,2016/July/26,979MB
444,Dungeons 2,2035,1.58,2498,31.1,3.7,https://www.truetrophies.com/game/Dungeons-2/trophies,25,30,https://www.truetrophies.com/game/Dungeons-2,Strategy,Realmforge-Studios,Kalypso-Media,2016/May/24,2.40GB
445,Dust: An Elysian Tail,2790,2.11,60436,15.0,3.8,https://www.truetrophies.com/game/Dust-An-Elysian-Tail/trophies,12,15,https://www.truetrophies.com/game/Dust-An-Elysian-Tail,Role-Playing|Platformer|Metroidvania|Action-RPG,Humble-Hearts,Humble-Hearts,2014/October/07,1.30GB
446,Dying Light,3822,2.16,132269,1.1,4.0,https://www.truetrophies.com/game/Dying-Light/trophies,40,50,https://www.truetrophies.com/game/Dying-Light,Action-Horror|Open-World,Techland,Warner-Bros-Interactive-Entertainment,2015/January/27,15.80GB
447,Dying: Reborn,1428,1.06,3386,86.1,2.3,https://www.truetrophies.com/game/Dying-Reborn/trophies,1,2,https://www.truetrophies.com/game/Dying-Reborn,Adventure|Puzzle,Nekcom,Oasis-Games,2017/February/28,2.95GB
448,Dying: Reborn (EU),1396,1.03,2726,91.2,2.2,https://www.truetrophies.com/game/Dying-Reborn-European/trophies,1,2,https://www.truetrophies.com/game/Dying-Reborn-European,Adventure|Puzzle,Nekcom,Oasis-Games,2017/February/28,2.95GB
449,Dying: Reborn (JP),1394,1.03,906,90.7,1.8,https://www.truetrophies.com/game/Dying-Reborn-Japanese/trophies,1,2,https://www.truetrophies.com/game/Dying-Reborn-Japanese,Adventure|Puzzle,Nekcom,Oasis-Games,2017/May/25,9.80GB
450,Dying: Reborn VR,416,1.32,1918,48.0,2.8,https://www.truetrophies.com/game/Dying-Reborn-VR/trophies,1,2,https://www.truetrophies.com/game/Dying-Reborn-VR,Adventure|Puzzle,Nekcom,Oasis-Games,2017/February/28,1.56GB
451,Dynasty Warriors 9,2420,1.81,9757,19.0,3.0,https://www.truetrophies.com/game/Dynasty-Warriors-9/trophies,100,120,https://www.truetrophies.com/game/Dynasty-Warriors-9,Open-World|Hack-and-Slash,Omega-Force,KOEI-TECMO,2018/February/08,46.54GB
452,EA SPORTS Rory McIlroy PGA TOUR,2619,2.03,9810,12.2,3.5,https://www.truetrophies.com/game/EA-SPORTS-Rory-McIlroy-PGA-TOUR/trophies,25,30,https://www.truetrophies.com/game/EA-SPORTS-Rory-McIlroy-PGA-TOUR,Sports|Golf,EA-Tiburon,Electronic-Arts,2015/July/16,26.30GB
453,EA SPORTS UFC 2,4182,3.13,29429,3.3,3.6,https://www.truetrophies.com/game/EA-SPORTS-UFC-2/trophies,25,30,https://www.truetrophies.com/game/EA-SPORTS-UFC-2,Mixed-Martial-Arts|Sports|Fighting,EA-Canada,Electronic-Arts,2016/March/15,17.80GB
454,Earth Defense Force 4.1: The Shadow of New Despair,6901,5.11,5003,1.8,4.0,https://www.truetrophies.com/game/Earth-Defense-Force-41-The-Shadow-of-New-Despair/trophies,200,700,https://www.truetrophies.com/game/Earth-Defense-Force-41-The-Shadow-of-New-Despair,Third-Person-Shooter,Sandlot,Xseed-Games,2015/December/08,6.10GB
455,Eekeemoo - Splinters of Dark Shard (EU),1467,1.09,1912,81.3,1.6,https://www.truetrophies.com/game/Eekeemoo--Splinters-of-Dark-Shard-European/trophies,3,4,https://www.truetrophies.com/game/Eekeemoo--Splinters-of-Dark-Shard-European,Action-Adventure,Cogg-Games,Cooply-Solutions,2017/March/14,563MB
456,eFootball PES 2020 (EU),2697,2.02,8867,12.0,3.8,https://www.truetrophies.com/game/eFootball-PES-2020-European/trophies,25,30,https://www.truetrophies.com/game/eFootball-PES-2020-European,Football|Sports,Konami-Digital-Entertainment,Konami-Digital-Entertainment,2019/September/10,35.41GB
457,Energy Balance,1531,1.17,1847,70.0,2.0,https://www.truetrophies.com/game/Energy-Balance/trophies,2,3,https://www.truetrophies.com/game/Energy-Balance,Puzzle,Sometimes-You,Sometimes-You,2017/June/02,532MB
458,Energy Balance (EU),1511,1.16,1691,72.4,2.2,https://www.truetrophies.com/game/Energy-Balance-European/trophies,2,3,https://www.truetrophies.com/game/Energy-Balance-European,Puzzle,Sometimes-You,Sometimes-You,2017/July/28,532MB
459,Energy Balance (Vita),1443,1.11,676,79.7,1.4,https://www.truetrophies.com/game/Energy-Balance-Vita/trophies,2,3,https://www.truetrophies.com/game/Energy-Balance-Vita,Puzzle,Sometimes-You,Sometimes-You,2017/July/12,302MB
460,Energy Cycle,1281,1.02,8083,96.2,2.0,https://www.truetrophies.com/game/Energy-Cycle/trophies,0,1,https://www.truetrophies.com/game/Energy-Cycle,Puzzle,Sometimes-You,Sometimes-You,2017/June/23,685MB
461,Energy Cycle (Asia),1274,1.01,1400,97.4,2.1,https://www.truetrophies.com/game/Energy-Cycle-Asian/trophies,0,1,https://www.truetrophies.com/game/Energy-Cycle-Asian,Puzzle,Sometimes-You,eastasiasoft,2019/May/24,891MB
462,Energy Cycle (EU),1282,1.02,8406,96.0,1.9,https://www.truetrophies.com/game/Energy-Cycle-European/trophies,0,1,https://www.truetrophies.com/game/Energy-Cycle-European,Puzzle,Sometimes-You,Sometimes-You,2017/August/04,685MB
463,Energy Cycle Edge,1325,1.03,1351,93.7,1.3,https://www.truetrophies.com/game/Energy-Cycle-Edge/trophies,1,2,https://www.truetrophies.com/game/Energy-Cycle-Edge,Puzzle,Sometimes-You,Sometimes-You,2018/December/05,697MB
464,Energy Cycle Edge (Asia),1311,1.02,901,96.3,0.5,https://www.truetrophies.com/game/Energy-Cycle-Edge-Asian/trophies,1,2,https://www.truetrophies.com/game/Energy-Cycle-Edge-Asian,Puzzle,Sometimes-You,eastasiasoft,2019/March/29,1.19GB
465,Energy Cycle Edge (EU),1327,1.03,1246,93.5,1.4,https://www.truetrophies.com/game/Energy-Cycle-Edge-European/trophies,1,2,https://www.truetrophies.com/game/Energy-Cycle-Edge-European,Puzzle,Sometimes-You,Sometimes-You,2018/December/05,776MB
466,Energy Invasion,1389,1.09,3381,80.4,2.0,https://www.truetrophies.com/game/Energy-Invasion/trophies,3,4,https://www.truetrophies.com/game/Energy-Invasion,Action,Sometimes-You,Sometimes-You,2018/January/10,450MB
467,Energy Invasion (EU),1375,1.08,2720,82.1,1.8,https://www.truetrophies.com/game/Energy-Invasion-European/trophies,2,3,https://www.truetrophies.com/game/Energy-Invasion-European,Action,Sometimes-You,Sometimes-You,2018/January/10,450MB
468,Enigmatis 2: The Mists of Ravenwood,1490,1.12,3306,71.5,3.3,https://www.truetrophies.com/game/Enigmatis-2-The-Mists-of-Ravenwood/trophies,6,8,https://www.truetrophies.com/game/Enigmatis-2-The-Mists-of-Ravenwood,Adventure|Point-and-Click,Artifex-Mundi,Artifex-Mundi,2017/May/30,1.10GB
469,Enigmatis 3: The Shadow of Karkhala,1426,1.07,1537,80.6,3.4,https://www.truetrophies.com/game/Enigmatis-3-The-Shadow-of-Karkhala/trophies,4,5,https://www.truetrophies.com/game/Enigmatis-3-The-Shadow-of-Karkhala,Adventure|Point-and-Click,Artifex-Mundi,Artifex-Mundi,2018/April/06,2.15GB
470,Enigmatis: The Ghosts of Maple Creek,1413,1.1,5139,74.6,3.2,https://www.truetrophies.com/game/Enigmatis-The-Ghosts-of-Maple-Creek-PS4/trophies,5,6,https://www.truetrophies.com/game/Enigmatis-The-Ghosts-of-Maple-Creek-PS4,Adventure|Point-and-Click,Artifex-Mundi,Artifex-Mundi,2017/January/24,532MB
471,Enter the Gungeon,4139,2.87,17157,3.3,4.1,https://www.truetrophies.com/game/Enter-the-Gungeon/trophies,80,100,https://www.truetrophies.com/game/Enter-the-Gungeon,Roguelite|Shoot-em-up,Dodge-Roll-Games,Devolver-Digital,2016/April/05,1.16GB
472,Epic Word Search Collection,1368,1.05,817,88.5,2.2,https://www.truetrophies.com/game/Epic-Word-Search-Collection/trophies,1,2,https://www.truetrophies.com/game/Epic-Word-Search-Collection,Puzzle,Lightwood-Games,Lightwood-Games,2020/March/17,315MB
473,Epic Word Search Collection (EU),1363,1.04,1052,89.5,3.0,https://www.truetrophies.com/game/Epic-Word-Search-Collection-European/trophies,1,2,https://www.truetrophies.com/game/Epic-Word-Search-Collection-European,Puzzle,Lightwood-Games,Lightwood-Games,2020/March/19,316MB
474,Epic Word Search Collection 2,1351,1.04,493,91.5,2.8,https://www.truetrophies.com/game/Epic-Word-Search-Collection-2/trophies,1,2,https://www.truetrophies.com/game/Epic-Word-Search-Collection-2,Puzzle,Lightwood-Games,Lightwood-Games,2020/July/21,320MB
475,Epic Word Search Collection 2 (EU),1342,1.03,645,93.0,2.5,https://www.truetrophies.com/game/Epic-Word-Search-Collection-2-European/trophies,1,2,https://www.truetrophies.com/game/Epic-Word-Search-Collection-2-European,Puzzle,Lightwood-Games,Lightwood-Games,2020/July/21,321MB
476,Erica,2026,1.57,7349,32.6,3.2,https://www.truetrophies.com/game/Erica/trophies,8,10,https://www.truetrophies.com/game/Erica,Visual-Novel,Flavourworks,Sony-Interactive-Entertainment,2019/August/19,40.16GB
477,Erica (EU),2023,1.57,14702,32.1,3.2,https://www.truetrophies.com/game/Erica-European/trophies,8,10,https://www.truetrophies.com/game/Erica-European,Visual-Novel,Flavourworks,Sony-Interactive-Entertainment,2019/August/19,40.16GB
478,Ether One,2513,1.99,39779,23.2,2.7,https://www.truetrophies.com/game/Ether-One/trophies,6,8,https://www.truetrophies.com/game/Ether-One,Action-Adventure,White-Paper-Games,White-Paper-Games,2015/May/05,2.12GB
479,Eventide 2: Sorcerer's Mirror,1370,1.05,2000,85.7,3.3,https://www.truetrophies.com/game/Eventide-2-Sorcerers-Mirror/trophies,3,4,https://www.truetrophies.com/game/Eventide-2-Sorcerers-Mirror,Adventure|Point-and-Click,Artifex-Mundi,Artifex-Mundi,2017/September/26,659MB
480,Eventide 3: Legacy of Legends,1348,1.06,1264,83.8,3.3,https://www.truetrophies.com/game/Eventide-3-Legacy-of-Legends/trophies,3,4,https://www.truetrophies.com/game/Eventide-3-Legacy-of-Legends,Adventure|Point-and-Click,Artifex-Mundi,Artifex-Mundi,2018/June/29,1.59GB
481,Eventide: Slavic Fable,1426,1.07,3864,81.7,3.3,https://www.truetrophies.com/game/Eventide-Slavic-Fable/trophies,3,4,https://www.truetrophies.com/game/Eventide-Slavic-Fable,Adventure|Point-and-Click,Artifex-Mundi,Artifex-Mundi,2017/April/25,780MB
482,Everybody's Golf,4369,3.43,20918,4.0,4.0,https://www.truetrophies.com/game/New-Hot-Shots-Golf/trophies,50,60,https://www.truetrophies.com/game/New-Hot-Shots-Golf,Sports|Golf,SIE-Japan-Studio,Sony-Computer-Entertainment,2017/August/29,7.90GB
483,Everybody's Gone to the Rapture,1818,1.44,44301,40.8,3.3,https://www.truetrophies.com/game/Everybodys-Gone-to-the-Rapture/trophies,8,10,https://www.truetrophies.com/game/Everybodys-Gone-to-the-Rapture,Adventure,The-Chinese-Room,Sony-Computer-Entertainment,2015/August/11,5.30GB
484,Expand,337,1.18,425,65.6,3.3,https://www.truetrophies.com/game/Expand/trophies,1,2,https://www.truetrophies.com/game/Expand,Puzzle,Chris-Johnson-and-Chris-Larkin,UKIYO-Publishing,2017/October/03,211MB
485,Explosive Jake (EU),1482,1.1,651,81.7,0.5,https://www.truetrophies.com/game/Explosive-Jake-European/trophies,1,2,https://www.truetrophies.com/game/Explosive-Jake-European,Action,Pigeon-Dev-Games,Sometimes-You,2020/March/18,379MB
486,F1 2016,2548,1.91,8877,12.9,4.2,https://www.truetrophies.com/game/F1-2016/trophies,25,30,https://www.truetrophies.com/game/F1-2016,Automobile|Simulation-Racing,Codemasters,Codemasters,2016/August/19,23.37GB
487,F1 2018,2513,1.88,6926,14.2,4.3,https://www.truetrophies.com/game/F1-2018/trophies,40,50,https://www.truetrophies.com/game/F1-2018,Automobile|Simulation-Racing,Codemasters,Codemasters,2018/August/24,34.01GB
488,F1 2020,2754,2.04,7710,11.3,4.4,https://www.truetrophies.com/game/F1-2020/trophies,30,35,https://www.truetrophies.com/game/F1-2020,Automobile|Sports|Simulation-Racing,Codemasters,Codemasters,2020/July/10,37.31GB
489,FAHRENHEIT - Indigo Prophecy,2385,1.89,3703,16.4,3.7,https://www.truetrophies.com/game/FAHRENHEIT--Indigo-Prophecy/trophies,15,20,https://www.truetrophies.com/game/FAHRENHEIT--Indigo-Prophecy,Action-Adventure,Quantic-Dream,Quantic-Dream,2016/August/09,1.28GB
490,Fairy Fencer F: Advent Dark Force,2838,2.1,4684,15.4,3.8,https://www.truetrophies.com/game/Fairy-Fencer-F-Advent-Dark-Force/trophies,40,50,https://www.truetrophies.com/game/Fairy-Fencer-F-Advent-Dark-Force,Role-Playing|Turn-Based,Compile-Heart,Idea-Factory,2016/July/26,10.08GB
491,FAIRY TAIL,1677,1.33,3109,45.5,3.8,https://www.truetrophies.com/game/FAIRY-TAIL/trophies,40,50,https://www.truetrophies.com/game/FAIRY-TAIL,Role-Playing|Turn-Based,Gust,KOEI-TECMO,2020/July/30,5.90GB
492,Fall Guys: Ultimate Knockout,6344,4.86,168542,0.9,3.8,https://www.truetrophies.com/game/Fall-Guys-Ultimate-Knockout/trophies,30,35,https://www.truetrophies.com/game/Fall-Guys-Ultimate-Knockout,Party,Mediatonic,Devolver-Digital,2020/August/04,3.95GB
493,Fallout 4,3311,1.75,170083,3.5,4.2,https://www.truetrophies.com/game/Fallout-4/trophies,60,80,https://www.truetrophies.com/game/Fallout-4,Action-RPG|First-Person-Shooter|Open-World|Role-Playing|Third-Person-Shooter,Bethesda-Game-Studios,Bethesda-Softworks,2015/November/10,32.10GB
494,Fallout Shelter,2259,1.79,36513,22.4,3.5,https://www.truetrophies.com/game/Fallout-Shelter/trophies,60,80,https://www.truetrophies.com/game/Fallout-Shelter,Management|Simulation|Real-Time,Bethesda-Game-Studios,Bethesda-Softworks,2018/June/11,394MB
495,Far Cry 3 Classic Edition,1760,1.4,39713,43.7,4.0,https://www.truetrophies.com/game/Far-Cry-3-Classic-Edition/trophies,20,25,https://www.truetrophies.com/game/Far-Cry-3-Classic-Edition,First-Person-Shooter|Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2018/May/29,6.79GB
496,Far Cry 4,2321,1.5,133116,7.5,4.1,https://www.truetrophies.com/game/Far-Cry-4/trophies,25,30,https://www.truetrophies.com/game/Far-Cry-4,First-Person-Shooter|Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2014/November/18,21.80GB
497,Far Cry 5,3777,1.92,113871,2.4,4.0,https://www.truetrophies.com/game/Far-Cry-5/trophies,40,50,https://www.truetrophies.com/game/Far-Cry-5,First-Person-Shooter|Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2018/March/27,34.03GB
498,Far Cry New Dawn,1886,1.4,38080,33.7,3.8,https://www.truetrophies.com/game/Far-Cry-New-Dawn/trophies,20,25,https://www.truetrophies.com/game/Far-Cry-New-Dawn,First-Person-Shooter|Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2019/February/15,22.69GB
499,Far Cry Primal,1845,1.37,90785,40.5,3.8,https://www.truetrophies.com/game/Far-Cry-Primal/trophies,20,25,https://www.truetrophies.com/game/Far-Cry-Primal,First-Person-Shooter|Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2016/February/23,11.40GB
500,Farm Together,2074,1.37,1736,23.5,4.4,https://www.truetrophies.com/game/Farm-Together/trophies,80,100,https://www.truetrophies.com/game/Farm-Together,Management|Simulation,Milkstone-Studios,Milkstone-Studios,2019/February/20,889MB
501,Farming Simulator 15 (2015),1870,1.48,5362,32.5,3.7,https://www.truetrophies.com/game/Farming-Simulator-15-2015/trophies,25,30,https://www.truetrophies.com/game/Farming-Simulator-15-2015,Simulation,Giants-Software,Focus-Home-Interactive,2015/May/19,3.01GB
502,Farming Simulator 19,2400,1.9,12965,20.1,3.3,https://www.truetrophies.com/game/Farming-Simulator-19/trophies,60,80,https://www.truetrophies.com/game/Farming-Simulator-19,Simulation,Giants-Software,Focus-Home-Interactive,2018/November/20,5.51GB
503,Fat Princess Adventures,2930,2.17,11085,16.3,3.6,https://www.truetrophies.com/game/Fat-Princess-Adventures/trophies,20,25,https://www.truetrophies.com/game/Fat-Princess-Adventures,Role-Playing|Action-RPG,Fun-Bits-Interactive,Sony-Computer-Entertainment,2015/December/05,5.30GB
504,Fate/EXTELLA: The Umbral Star,2769,2.05,8642,11.2,3.9,https://www.truetrophies.com/game/FateEXTELLA-The-Umbral-Star/trophies,50,60,https://www.truetrophies.com/game/FateEXTELLA-The-Umbral-Star,Hack-and-Slash,Marvelous-Entertainment,Xseed-Games,2017/January/17,2.70GB
505,Fated: The Silent Oath,373,1.18,860,66.2,3.2,https://www.truetrophies.com/game/FATED-The-Silent-Oath/trophies,1,2,https://www.truetrophies.com/game/FATED-The-Silent-Oath,Adventure,Frima-Studio,Frima-Studio,2017/March/28,1.85GB
506,Fe,2030,1.61,5205,31.5,3.5,https://www.truetrophies.com/game/Fe/trophies,10,12,https://www.truetrophies.com/game/Fe,Action-Adventure,Zoink,Electronic-Arts,2018/February/16,2.10GB
507,Fear Effect Sedna,2288,1.79,1172,27.2,1.8,https://www.truetrophies.com/game/Fear-Effect-Sedna/trophies,6,8,https://www.truetrophies.com/game/Fear-Effect-Sedna,Action-Adventure,Sushee,Square-Enix,2018/March/06,4.57GB
508,Feather,1315,1.02,854,93.9,2.2,https://www.truetrophies.com/game/Feather/trophies,0,1,https://www.truetrophies.com/game/Feather,Aerial|Open-World|Adventure,Samurai-Punk,Samurai-Punk,2020/September/30,405MB
509,Fez,711,2.26,57752,13.2,3.6,https://www.truetrophies.com/game/Fez/trophies,6,8,https://www.truetrophies.com/game/Fez,Puzzle|Platformer,Polytron-Corporation,Polytron-Corporation,2014/March/25,233MB
510,FIFA 14,2751,2.13,45845,9.5,3.8,https://www.truetrophies.com/game/FIFA-14/trophies,35,40,https://www.truetrophies.com/game/FIFA-14,Football|Sports,EA-Canada,Electronic-Arts,2013/November/15,4.82GB
511,FIFA 15,3173,2.46,65472,4.3,3.8,https://www.truetrophies.com/game/FIFA-15/trophies,20,25,https://www.truetrophies.com/game/FIFA-15,Football|Sports,EA-Canada,Electronic-Arts,2014/September/23,13.75GB
512,FIFA 16,3177,2.46,67700,5.1,3.8,https://www.truetrophies.com/game/FIFA-16/trophies,35,40,https://www.truetrophies.com/game/FIFA-16,Football|Sports,EA-Canada,Electronic-Arts,2015/September/22,18.38GB
513,FIFA 17,3370,2.55,69911,4.3,3.7,https://www.truetrophies.com/game/FIFA-17/trophies,50,60,https://www.truetrophies.com/game/FIFA-17,Football|Sports,EA-Canada,Electronic-Arts,2016/September/27,34.60GB
514,FIFA 18,3098,2.35,67123,6.1,3.6,https://www.truetrophies.com/game/FIFA-18/trophies,40,50,https://www.truetrophies.com/game/FIFA-18,Football|Sports,EA-Canada,Electronic-Arts,2017/September/29,37.90GB
515,Fifty Words by POWGI,1376,1.05,907,85.9,2.8,https://www.truetrophies.com/game/Fifty-Words-by-POWGI/trophies,1,2,https://www.truetrophies.com/game/Fifty-Words-by-POWGI,Puzzle,Lightwood-Games,Lightwood-Games,2019/September/03,201MB
516,Fifty Words by POWGI (EU),1378,1.06,1368,85.2,2.9,https://www.truetrophies.com/game/Fifty-Words-by-POWGI-European/trophies,0,1,https://www.truetrophies.com/game/Fifty-Words-by-POWGI-European,Puzzle,Lightwood-Games,Lightwood-Games,2019/September/03,203MB
517,Final Fantasy IX,3140,2.33,17104,9.8,4.6,https://www.truetrophies.com/game/FINAL-FANTASY-IX/trophies,60,80,https://www.truetrophies.com/game/FINAL-FANTASY-IX,Role-Playing|Turn-Based,Square-Enix,Square-Enix,2017/September/19,5.00GB
518,Final Fantasy Type-0 HD,2189,1.66,43090,24.4,3.6,https://www.truetrophies.com/game/Final-Fantasy-Type-0-HD/trophies,20,25,https://www.truetrophies.com/game/Final-Fantasy-Type-0-HD,Role-Playing|Action-RPG,Square-Enix,Square-Enix,2015/March/17,23.50GB
519,Final Fantasy VII,2160,1.62,42574,30.6,4.6,https://www.truetrophies.com/game/FINAL-FANTASY-VII/trophies,40,50,https://www.truetrophies.com/game/FINAL-FANTASY-VII,Role-Playing|Turn-Based,Square-Enix,Square-Enix,2015/December/05,4.00GB
520,Final Fantasy VII Remake,2334,1.73,98925,18.1,4.6,https://www.truetrophies.com/game/FINAL-FANTASY-VII-Remake/trophies,60,80,https://www.truetrophies.com/game/FINAL-FANTASY-VII-Remake,Role-Playing|Action-RPG,Square-Enix,Square-Enix,2020/April/10,85.82GB
521,Final Fantasy VIII Remastered,1994,1.48,18297,36.8,4.5,https://www.truetrophies.com/game/Final-Fantasy-VIII/trophies,30,35,https://www.truetrophies.com/game/Final-Fantasy-VIII,Role-Playing|Turn-Based,Square-Enix,Square-Enix,2019/September/03,3.34GB
522,Final Fantasy X HD Remaster,2708,2.1,75858,13.9,4.5,https://www.truetrophies.com/game/Final-Fantasy-X-HD-Remaster/trophies,100,120,https://www.truetrophies.com/game/Final-Fantasy-X-HD-Remaster,Role-Playing|Turn-Based,Square-Enix,Square-Enix,2015/May/12,31.80GB
523,Final Fantasy X-2 HD Remaster,2853,2.21,23809,14.2,4.0,https://www.truetrophies.com/game/Final-Fantasy-X2-HD-Remaster/trophies,80,100,https://www.truetrophies.com/game/Final-Fantasy-X2-HD-Remaster,Role-Playing,Square-Enix,Square-Enix,2015/May/12,22.90GB
524,Final Fantasy XII: The Zodiac Age,2804,2.08,39228,14.2,4.4,https://www.truetrophies.com/game/FINAL-FANTASY-XII-The-Zodiac-Age/trophies,80,100,https://www.truetrophies.com/game/FINAL-FANTASY-XII-The-Zodiac-Age,Role-Playing,Square-Enix,Square-Enix,2017/July/11,40.56GB
525,Final Fantasy XV,6055,2.33,63532,0.6,4.1,https://www.truetrophies.com/game/FINAL-FANTASY-XV/trophies,60,80,https://www.truetrophies.com/game/FINAL-FANTASY-XV,Open-World|Role-Playing|Action-RPG,Square-Enix,Square-Enix,2016/November/29,43.50GB
526,Final Fantasy XV (EU),5630,2.17,63641,0.8,4.0,https://www.truetrophies.com/game/Final-Fantasy-XV-European/trophies,60,80,https://www.truetrophies.com/game/Final-Fantasy-XV-European,Open-World|Role-Playing|Action-RPG,Square-Enix,Square-Enix,2016/November/29,43.50GB
527,Final Horizon,2419,1.61,9039,9.2,3.3,https://www.truetrophies.com/game/Final-Horizon/trophies,6,8,https://www.truetrophies.com/game/Final-Horizon,Tower-Defence|Strategy,Eiconic-Games,Eiconic-Games,2014/December/02,223MB
528,Firewatch,489,1.25,15419,17.8,4.0,https://www.truetrophies.com/game/Firewatch/trophies,3,4,https://www.truetrophies.com/game/Firewatch,Adventure,Campo-Santo,Panic,2016/February/09,2.90GB
529,Firewatch (EU),470,1.21,19372,22.9,3.9,https://www.truetrophies.com/game/Firewatch-European/trophies,3,4,https://www.truetrophies.com/game/Firewatch-European,Adventure,Campo-Santo,Panic,2016/February/09,2.90GB
530,Flame Over,7313,5.42,10389,1.7,2.5,https://www.truetrophies.com/game/Flame-Over-PS4/trophies,15,20,https://www.truetrophies.com/game/Flame-Over-PS4,Action,Laughing-Jackal,Laughing-Jackal,2015/September/15,1.10GB
531,Floor Plan,430,1.37,898,32.4,3.9,https://www.truetrophies.com/game/Floor-Plan-Hands-On-Edition/trophies,0,1,https://www.truetrophies.com/game/Floor-Plan-Hands-On-Edition,Adventure|Puzzle,Turbo-Button,Turbo-Button,2018/March/20,339MB
532,flOw,897,2.72,18751,3.8,3.0,https://www.truetrophies.com/game/flOw/trophies,6,8,https://www.truetrophies.com/game/flOw,Puzzle,Thatgamecompany,Sony-Interactive-Entertainment,2013/December/04,1.03GB
533,Flower,614,1.95,34050,14.6,3.8,https://www.truetrophies.com/game/Flower/trophies,5,6,https://www.truetrophies.com/game/Flower,Puzzle,Thatgamecompany|Bluepoint-Games,Sony-Computer-Entertainment,2013/November/15,1.81GB
534,Football Game,1377,1.02,1551,95.0,1.2,https://www.truetrophies.com/game/Football-Game/trophies,0,1,https://www.truetrophies.com/game/Football-Game,Adventure|Point-and-Click,Cloak-and-Dagger-Games,Ratalaika-Games,2019/November/05,416MB
535,Football Game (EU),1374,1.02,2019,95.8,1.4,https://www.truetrophies.com/game/Football-Game-European/trophies,0,1,https://www.truetrophies.com/game/Football-Game-European,Adventure|Point-and-Click,Cloak-and-Dagger-Games,Ratalaika-Games,2019/November/06,419MB
536,Forgotton Anne,1921,1.42,1851,38.6,3.9,https://www.truetrophies.com/game/Forgotton-Anne/trophies,10,12,https://www.truetrophies.com/game/Forgotton-Anne,Adventure|Platformer,ThroughLine-Games,Square-Enix-Collective,2018/May/15,2.62GB
537,forma.8,2909,2.23,15539,17.8,2.7,https://www.truetrophies.com/game/forma-8/trophies,6,8,https://www.truetrophies.com/game/forma-8,Action-Adventure|Metroidvania,MixedBag-Games,MixedBag-Games,2017/February/28,872MB
538,Fortnite (PS4),8637,6.4,23734,0.6,4.1,https://www.truetrophies.com/game/Fortnite-PS4/trophies,200,700,https://www.truetrophies.com/game/Fortnite-PS4,Battle-Royale|Tower-Defence|Third-Person-Shooter,Epic-Games,Epic-Games,2017/July/21,6.69GB
