index,game,score,leaderbord,gamers,comp_perc,rating,url,min_comp_time,max_comp_time,Links,genres,developer,publisher,release_date,size
126,ArcaniA: Gothic 4,3028,2.32,6885,9.7,3.1,https://www.truetrophies.com/game/Arcania/trophies,40,50,https://www.truetrophies.com/game/Arcania,Role-Playing|Action-RPG,Black-Forest-Games,THQ-Nordic,2015/May/12,5.40GB
127,ARK: Survival Evolved,4957,2.87,39272,1.8,3.4,https://www.truetrophies.com/game/ARK-Survival-Evolved/trophies,6,8,https://www.truetrophies.com/game/ARK-Survival-Evolved,Survival|Open-World,Studio-Wildcard,Wildcard-Properties,2016/December/06,15.69GB
128,Armikrog,407,1.29,1352,44.0,2.4,https://www.truetrophies.com/game/Armikrog/trophies,2,3,https://www.truetrophies.com/game/Armikrog,Adventure|Point-and-Click,Pencil-Test-Studios,Versus-Evil,2016/August/23,3.00GB
129,Asemblance,396,1.26,1508,43.0,2.5,https://www.truetrophies.com/game/Asemblance/trophies,0,1,https://www.truetrophies.com/game/Asemblance,Action-Adventure,Nilo-Studios,Nilo-Studios,2016/June/21,1.95GB
130,Asemblance (EU),373,1.18,558,52.9,2.7,https://www.truetrophies.com/game/Asemblance-European/trophies,0,1,https://www.truetrophies.com/game/Asemblance-European,Action-Adventure,Nilo-Studios,Nilo-Studios,2016/July/26,1.95GB
131,Asemblance: Oversight,353,1.12,310,71.0,2.4,https://www.truetrophies.com/game/Asemblance-Oversight/trophies,1,2,https://www.truetrophies.com/game/Asemblance-Oversight,Adventure,Nilo-Studios,Nilo-Studios,2018/May/15,1.88GB
132,Assassin's Creed Chronicles: China,740,2.35,12229,8.8,3.2,https://www.truetrophies.com/game/Assassins-Creed-Chronicles-China/trophies,8,10,https://www.truetrophies.com/game/Assassins-Creed-Chronicles-China,Stealth|Platformer,Climax-Studios,Ubisoft,2015/April/22,2.34GB
133,Assassin's Creed Chronicles: India,590,1.87,2953,18.6,3.2,https://www.truetrophies.com/game/Assassins-Creed-Chronicles-India/trophies,12,15,https://www.truetrophies.com/game/Assassins-Creed-Chronicles-India,Stealth|Platformer,Climax-Studios,Ubisoft,2016/January/12,3.40GB
134,Assassin's Creed Freedom Cry,547,1.92,55589,18.4,3.4,https://www.truetrophies.com/game/Assassins-Creed-Freedom-Cry/trophies,6,8,https://www.truetrophies.com/game/Assassins-Creed-Freedom-Cry,Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2014/February/18,7.66GB
135,Assassin's Creed II,1734,1.28,44732,44.1,4.4,https://www.truetrophies.com/game/Assassins-Creed-II/trophies,20,25,https://www.truetrophies.com/game/Assassins-Creed-II,Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2016/November/15,37.65GB
136,Assassin's Creed III Remastered,2464,1.91,27044,18.3,3.7,https://www.truetrophies.com/game/Assassins-Creed-III-Remastered/trophies,40,50,https://www.truetrophies.com/game/Assassins-Creed-III-Remastered,Open-World|Stealth,Ubisoft,Ubisoft,2019/March/29,43.80GB
137,Assassin's Creed IV: Black Flag,3177,1.96,122556,2.9,4.2,https://www.truetrophies.com/game/Assassins-Creed-4-Black-Flag/trophies,40,50,https://www.truetrophies.com/game/Assassins-Creed-4-Black-Flag,Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2013/November/15,17.20GB
138,Assassin's Creed Liberation Remastered,1670,1.26,9704,56.4,3.4,https://www.truetrophies.com/game/Assassins-Creed-Liberation-Remastered/trophies,15,20,https://www.truetrophies.com/game/Assassins-Creed-Liberation-Remastered,Open-World|Stealth,Ubisoft,Ubisoft,2019/March/29,65.05GB
